gawk 5.3.2-1
coreutils 8.32-5
diffutils 3.12-1
file 5.46-2
findutils 4.10.0-2
gcc-libs 15.2.0-1
gmp 6.3.0-2
grep 1~3.0-7
heimdal-libs 7.8.0-5
libbz2 1.0.8-4
libcbor 0.11.0-1
libfido2 1.15.0-1
libiconv 1.18-1
libintl 0.22.5-1
liblzma 5.8.1-1
libopenssl 3.5.5-1
libpcre 8.45-5
libreadline 8.3.001-1
libsasl 2.1.28-5
libsqlite 3.50.4-1
libutil-linux 2.40.2-2
libxcrypt 4.4.38-1
libzstd 1.5.7-1
mingw-w64-i686-brotli 1.2.0-1
mingw-w64-i686-ca-certificates 20250419-1
mingw-w64-i686-curl-winssl 8.18.0-1
mingw-w64-i686-curl-openssl-alternate 8.18.0-1
mingw-w64-i686-curl-winssl 8.18.0-1
mingw-w64-i686-expat 2.7.4-1
mingw-w64-i686-gcc-libs 15.2.0-11
mingw-w64-i686-gettext-runtime 1.0-1
mingw-w64-i686-git 2.52.0.1-1
mingw-w64-i686-git-credential-manager 2.9.0-1
mingw-w64-i686-git-credential-wincred 2.52.0.1-1
mingw-w64-i686-git-extra 1.1.687.f502a63dc-1
mingw-w64-i686-git-for-windows-addons 2.52.0.1-1
mingw-w64-i686-git-gui 2.52.0.1-1
mingw-w64-i686-git-perl 2.52.0.1-1
mingw-w64-i686-git-send-email 2.52.0.1-1
mingw-w64-i686-git-subtree 2.52.0.1-1
mingw-w64-i686-gitk 2.52.0.1-1
mingw-w64-i686-libffi 3.5.2-1
mingw-w64-i686-libiconv 1.18-1
mingw-w64-i686-libidn2 2.3.8-4
mingw-w64-i686-libpsl 0.21.5-3
mingw-w64-i686-libssh2-wincng 1.11.1-2
mingw-w64-i686-libssh2-wincng 1.11.1-2
mingw-w64-i686-libtasn1 4.21.0-1
mingw-w64-i686-libunistring 1.3-1
mingw-w64-i686-libwinpthread 13.0.0.r488.g3fedac280-2
mingw-w64-i686-nghttp2 1.68.0-1
mingw-w64-i686-openssl 3.5.5-1
mingw-w64-i686-pcre2 10.47-1
mingw-w64-i686-zlib 1.3.1-1
mingw-w64-i686-zstd 1.5.7-1
mpfr 4.2.2-1
msys2-runtime-3.3 3.3.6-4
ncurses 6.5.20240831-2
openssh 10.2p1-1
openssl 3.5.5-1
sed 4.9-1
bash 5.2.037-1
zlib 1.3.1-1
filesystem 2025.05.08-2
dash 0.5.12-1
rebase 4.5.0-5
